sample_uid	C1d/C1-C1mt-C42.2-C3cg-C1b-C3cw	C1d/C42.2/C1/C3cg-C1b-C3cw-C45c-C115k	C1d-C42.2-C1-C1k-C1b-C3cg	C1d-C1mt-C1nq-C42.2-C1	C1d-C1mt-C42a-C42.2-C1	C1d-C42.2-C1-C1bi	C1d-C42.2-C1-C1b-C3cg-C3cw	C1d-C42.2-C1-C1b-C3cg-C3cw-C45c	C1d-C1mt-C42.2-C1-C3cg-C1b	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C42a/C42.2/C1/C1b-C1j-C1au-C3	C1d-C1mt-C42.2-C1-C3cg	C42a/C42.2-C1-C42ak-C1b-C42al	C1d-C42.2-C1-C1nr	C42a/C42.2-C1-C1b-C42ak-C1j	D1-D1as-D1ba-D1bb-D4-D1at-D6-D1ax-D1dy-D1ea	D1-D1at-D1as-D1ba-D2a-D4-D6	D1-D1as-D1at-D6-D4-D1bb-D1ba-D1bd	D1/D1bb-D1as-D1at-D4-D1ba-D6-D1bg-D1ax	D1-D1as-D1at-D4-D6-D1ba-D1ax-D1bb	D1/D1bb-D1as-D1bg-D1at-D1ba-D6-D4	D1-D1at-D1as-D1bc-D1bg-D6-D1bb-D4
156819	0	0	7619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156845	0	0	3887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1171	0	0	0	0
156883	0	0	2601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0
156815	0	0	3819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2097	0	0	0	0
156885	0	0	2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261	0	0	0	0
156886	0	0	2326	0	0	0	0	0	0	0	0	0	0	0	0	0	1681	0	0	0	0	0
156887	0	0	2042	0	0	0	0	0	0	0	0	0	0	0	0	0	1795	0	0	0	0	0
156772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2550	0	0	0	0
156811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4385	0	0	0	0
156809	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3568	0	0	0	0
156814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2515	0	0	0
156884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1664	0	0	0
156812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3249	0	0	0
156847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1327	0	0	0
156888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1063	0	0	0
156799	0	0	0	0	0	2450	0	0	0	0	0	0	0	0	0	0	0	0	4458	0	0	0
156824	0	0	0	3977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156857	0	0	0	5348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156759	0	0	0	4595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156793	0	0	0	7961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156748	0	0	0	5187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156785	0	0	0	8625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156823	0	0	0	4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156767	0	0	0	0	3582	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0
156854	0	0	0	0	4161	0	0	0	0	0	0	0	0	0	0	733	0	0	0	0	0	0
156838	0	0	0	0	4329	0	0	0	0	0	0	0	0	0	0	1123	0	0	0	0	0	0
156783	0	0	0	0	0	6230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156855	0	0	0	0	0	3903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
